mbid        	domid   	name	location
c926258532a5	UP6P1846	Ricotta_Salata	2002-01
5ff3ff4831ca	TP8H8513	Reda	2002-02
5408869ce754	UP7P2178	Aladdin	2002-03
8d85d1c792bd	TP9P3783	Chuddley_Cannon	2002-04
71f4265c961b	UP7P2722	St_Francis_Dam	2002-05
b037cafc204a	TP8H8541	Koka	2002-06
8c190ea331f5	UP9P3886	Winter_Storm_Warning	2002-07
8031681afab7	TP4H0039	Stockholm	2002-08
bde305a1ad91	UP9P3796	No_Four_Privet_Drive	2002-09
cedb11a31c97	TP8H8557	Sjuda	2002-10
1035a0e862cd	UP6P1364	Blue_Snowballish	2002-11
1c17e46293aa	TP8H8547	Passera	2002-12
eca32978da3d	UP7P2278	Osage_Nation	2002-13
70a590cce5fe	TP8H8559	Skumma	2002-14
3d69f289d10e	UP8P3392	Valais_Blacknose	2002-15
a7cd6db189de	TP8H8563	Steka	2002-16
136212002167	UP9P3866	False_Sabertooth	2002-17
aad88f777f2c	TP8H8523	Blanka	2002-18
647cfac37b23	UP6Y4504	Uthlanga	2002-19
9db954444540	TP7H8305	Pjuck	2002-20
344607d8536a	UP7H8274	Grunka	2002-21
803862fec756	TP6H7561	Galtholmen	2002-22
8183c913bd0e	UP8P3438	Ariosto	2002-23
ba23ad14e6a2	TP8H8511	Panera	2002-24
bef23e9a5714	UP6H7550	Falkenbergsgatan	2002-25
48adc03d6493	TP7H8019	Fribord	2002-26
dcc9237a71c8	UP8P3250	Guiro	2002-27
903ff1c25b01	TP9P3915	Sunbreak	2002-28
9cd9024921ab	UP8H8538	Kandera	2002-29
9edee5cc2002	TP9P3913	Spout	2002-30
c4ddcb387396	UP8H8536	Hyvla	2002-31
47fdfaf046db	TP7H8097	Lin	2002-32
1376561bdfa9	UP7H8206	Hovslagare	2002-33
a6f41c54401d	TP7H8285	Kneg	2002-34
fee19e9ee975	UP7H8230	Arkivarie	2002-35
792003ffc020	TP5H0215	Sidensvans	2002-36
320ee5f9f467	UP8H8504	Deglasera	2002-37
2f10a07e6e86	TP7P2717	Beluga	2002-38
80c752ba7f48	UP8H8518	Tranchera	2002-39
9518cfe5b304	TP5H0111	Kornknarr	2002-40
4069f5690343	UP8H8500	Avkoka	2002-41
acf6a6c09841	TP6P1205	Lily_River	2002-42
e74ebbcc48ae	UP6P1200	Nandina	2002-43
b1306c614f22	TP9P3911	Squall	2002-44
d62d54a6e407	UP7H8310	Plurra	2002-45
da632a0ea6ee	TP9P3917	Spattering	2002-46
612c74ab25e2	UP9P3910	Slush	2002-47
2301500933d2	TP9P3881	Downpour	2002-48
34641268547e	UP9P3908	Sparkling_Puddles	2002-49
b3e525302dde	TP9P3709	Gonzo_the_Great	2002-50
a7609ad763e4	UP8P3240	Gamelan	2002-51
ddf115dad1d7	TP9P3897	Drizzle	2002-52
f339e7e2847a	UP9P3912	Ice_Fog	2002-53
20dad5a7a211	TP9P3833	Droplets	2002-54
e4b4ec6bb27d	UP6H7680	Epoxilim	2002-55
0815335fa8bf	TP9P3889	April_Shower	2002-56
1ae6c6c43f09	UP7H8254	Lots	2002-57
bab8ce96ff82	TP9P3887	Buckets	2002-58
92a2f9827bff	UP6H7666	Cyanoakrylatlim	2002-59
a68ba39654ff	TP7P2107	Testouri	2002-60
dfa96aa467d2	DFLSyn03	BirthDOM	2002-61
caae2293e43e	DFLRef08	GeekDOM	2002-62
812678dde98d	DFLRef05	DomDOM	2003-03
1c10c09d3772	DFLRef06	ConDOM	2003-02
80b0adb4915b	AP5P0400	Wind_Shear	2003-01
155729f1d1be	TP4P0285	Summerfest	2003-01
97df8eb67ad4	TP7H8273	Glutta	2003-01
5edee725ef70	AP8P3033	Munich_1972	2032-01
3b2b934d86e0	TP7P2783	Angkor_Wat	2032-02
e5360986ea52	AP6P1184	Haifa	2032-03
b052048c6313	AP8P3016	Melbourne_1956	2032-04
f2de7010529a	TP8H8529	Filea	2032-05
