mbid	thedomid	thename	location	explanation
92a2f9827bff	UP6H7666	Cyanoakrylatlim	-	-
a68ba39654ff	TP7P2107	Testouri	-	-
1ae6c6c43f09	UP7H8254	Lots	-	-
bab8ce96ff82	TP9P3887	Buckets	-	-
49df544c6bb6	TP6P1393	3_card_Poker	65-40	A card Game
33186a0ca57f	UP4P0222	Aardvark	46-11	-
fd3fdcb72756	TP6P1629	Aardvark22	63-44	Captain Aarfy Aardvark is a character in Joseph Hellers magnum opus, Catch-22. He is a navigator in the Army Air Corps during World War II.
040222704ea9	TP6P1631	Aarfy	63-52	Captain Aarfy Aardvark is a character in Joseph Hellers magnum opus, Catch-22. He is a navigator in the Army Air Corps during World War II.
337382154103	UP7P2640	Aban	11-59	NULL
a4a3eabca8bf	UP6H7692	Abborre	68-01	NULL
a03a5847ac57	TP8Y5125	Abertam	51-42	NULL
37635480d173	UP7Y4726	Abeyek	12-17	NULL
10dbd5f897a7	UP5H0166	Abrahamsberg	29-51	-
362505f566dd	UP5P0904	Abrakophilia	39-49	-
5772621ab9ae	TP7Y4951	Abrixas	51-10	NULL
0f1d6871357e	UP7Y4682	Abyaneh	37-39	NULL
8b3c3b779e54	UP6Y4328	Ab_Kin_Xoc	66-19	NULL
a5fefd7755fd	TL8P6579	Acadia	83-58	NULL
57387e4d1abd	UP7Y4882	Accelerando	35-15	NULL
12d19e75bc5a	UP5P0740	Acerophobia	29-09	-
ae829c9e5b37	TP8Y4991	Acer_Palmatum_Deshoj	33-04	NULL
95f44dafd909	UP8Y4974	Acer_Palmatum_Kiyohi	15-17	NULL
eb9dc7c80bb0	TP8Y4995	Acer_Palmatum_Seigen	08-24	NULL
3960d2f2f53a	TP4P0195	Acetylcholine	50-54	-
d506827bf470	TP6P1407	Ace_Of_The_Pile	54-16	A card Game
275527e474c8	UP5P0728	Achluophobiaish	72-57	-
7031624cff0e	TP7Y4505	Acidenitrix	06-24	NULL
b7859d68e8c1	UP8P3356	Acipayam	27-33	NULL
3cff3bc9901f	UP6H7644	Ackumulator	09-37	NULL
0e923b5b9c31	TP6Y4331	Acna	71-24	NULL
1cc05d900120	UP4P0232	Acorn_squash	26-59	-
0a07cc4845d1	UP7Y4934	Acrimsat	33-35	NULL
1c71b7b29c3a	UP8P3642	Acronymble	22-47	NULL
2129000445ac	UP5P0704	Acrophobia	67-25	-
88a8860e4d3a	UP5P0896	Acrotomophilia	63-23	-
d2a0f0a1b941	TP5Y0169	Acura_Integra	30-16	-
de45a0f45ad5	TP5Y0167	AC_Cobra	40-20	-
21162e0dc10e	UP6P1448	Ada	64-01	Language focused on secure programming named for programmer Ada Lovelace
c3bbcd2ca07d	UP4Y0032	Adambraue	59-29	-
3454e9a23d7d	TP6H7645	Adapter	77-28	NULL
05e7da6bbe65	UP7H8194	Advokat	42-43	NULL
eb8e6b6743f1	TP7Y4531	Adygeysk	55-30	NULL
c307807186ec	TP8P3137	Adz	25-46	NULL
84976bf645a2	TP4Y0021	Aecht_Patzenhofer	40-42	-
ae4fa5356e28	UP7P2488	Aerobics	27-13	NULL
7c9123c4ab15	TP6P1827	Aerolineas_Argentinas	74-50	Argentina national airline
912af53ec50b	UP5P0806	Aerology	63-57	-
fa9c32ad17ec	UP5P1048	Aeromonas	72-01	-
0b1d26a591b0	UP5P0682	Aeronausiphobia	39-31	-
375821bb71a9	UP5P0658	Aerophobiaish	71-55	-
e398031ea2f1	UP6P1782	Aero_Benin	74-37	Benin national airline
ddbb78a82820	TP8Y4993	Aesculus_Hippocastan	15-56	NULL
a37441207611	TP4H0020	Aethelred	30-10	-
df433894c6c6	UP8P3362	Afghan_Arabi	27-45	NULL
0c56f2911688	UP7P2588	Afik	31-07	NULL
3a79df1b9d01	UP6P1740	Africa	61-51	NULL
2755f75f07fc	TP6P1571	Age_Of_Empires	76-56	a history based real time strategy game series for the PC
